"MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gexp","MixS_gexp","screen.time_MV_gexp","class.time_MV_gexp","ERR_MV_gexp","screen.time_RRS_gexp","class.time_RRS_gexp","ERR_RRS_gexp","screen.time_KG_gexp","class.time_KG_gexp","ERR_KG_gexp","captured#Blocks","modelsize_MarS_gexp","modelsize_MixS_gexp","modelsize_MV_gexp","modelsize_RRS_gexp","modelsize_KG_gexp","capSig_MarS_gexp","capSig_MixS_gexp","capSig_MV_gexp","capSig_RRS_gexp","capSig_KG_gexp","capNoise_MarS_gexp","capNoise_MixS_gexp","capNoise_MV_gexp","capNoise_RRS_gexp","capNoise_KG_gexp","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gsqrt","MixS_gsqrt","screen.time_MV_gsqrt","class.time_MV_gsqrt","ERR_MV_gsqrt","screen.time_RRS_gsqrt","class.time_RRS_gsqrt","ERR_RRS_gsqrt","screen.time_KG_gsqrt","class.time_KG_gsqrt","ERR_KG_gsqrt","captured#Blocks","modelsize_MarS_gsqrt","modelsize_MixS_gsqrt","modelsize_MV_gsqrt","modelsize_RRS_gsqrt","modelsize_KG_gsqrt","capSig_MarS_gsqrt","capSig_MixS_gsqrt","capSig_MV_gsqrt","capSig_RRS_gsqrt","capSig_KG_gsqrt","capNoise_MarS_gsqrt","capNoise_MixS_gsqrt","capNoise_MV_gsqrt","capNoise_RRS_gsqrt","capNoise_KG_gsqrt","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_glog","MixS_glog","screen.time_MV_glog","class.time_MV_glog","ERR_MV_glog","screen.time_RRS_glog","class.time_RRS_glog","ERR_RRS_glog","screen.time_KG_glog","class.time_KG_glog","ERR_KG_glog","captured#Blocks","modelsize_MarS_glog","modelsize_MixS_glog","modelsize_MV_glog","modelsize_RRS_glog","modelsize_KG_glog","capSig_MarS_glog","capSig_MixS_glog","capSig_MV_glog","capSig_RRS_glog","capSig_KG_glog","capNoise_MarS_glog","capNoise_MixS_glog","capNoise_MV_glog","capNoise_RRS_glog","capNoise_KG_glog","screen.time_MCSSVMLIN","class.time_MCSSVMLIN","ERR_MCSSVMLIN","screen.time_MCSSVMRBF","class.time_MCSSVMRBF","ERR_MCSSVMRBF","modelsize_MCSSVMLIN","modelsize_MCSSVMRBF","capSig_MCSSVMLIN","capSig_MCSSVMRBF","capNoise_MCSSVMLIN","capNoise_MCSSVMRBF"
0,0.170000000000016,1.5,0,17.3,0.689999999999998,0.186,0.272,0.0100000000000193,0.360000000000014,0.206,0.0200000000000102,0.0600000000000023,0.206,0,0.359999999999985,0.206,1,4,3,10,10,10,4,2,4,4,4,6,6,0,0,0,0,0.039999999999992,1.44,0,15.36,0.700000000000017,0.156,0.246,0,0.340000000000003,0.172,0,0.359999999999985,0.172,0.0199999999999818,0.340000000000003,0.172,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0600000000000023,1.47,0.0200000000000102,13.4,0.370000000000005,0.164,0.248,0.0199999999999818,0.359999999999985,0.176,0,0.349999999999994,0.176,0,0.0600000000000023,0.176,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.0699999999999932,0,0.164,0.0699999999999932,0,0.174,10,10,4,4,0,0
0,0.0999999999999943,1.44,0,6.75,0.680000000000007,0.192,0.326,0.0100000000000477,0.0600000000000023,0.194,0,0.0699999999999932,0.194,0,0.360000000000014,0.194,1,5,1,10,10,10,4,1,4,4,4,5,8,0,0,0,0,0.0400000000000205,1.44,0,6.72000000000003,1,0.17,0.326,0,0.360000000000014,0.166,0,0.0500000000000114,0.166,0,0.339999999999975,0.166,1,5,1,10,10,10,4,1,4,4,4,5,8,0,0,0,0,0.0600000000000023,1.47000000000003,0,6.69,1.92000000000002,0.168,0.324,0.0200000000000387,0.339999999999975,0.164,0,0.360000000000014,0.164,0,0.379999999999995,0.164,1,5,1,10,10,10,4,1,4,4,4,5,8,0,0,0,0.169999999999987,0.0200000000000387,0.178,0.169999999999987,0.00999999999999091,0.172,10,10,4,4,0,0
0.0200000000000387,0.0600000000000023,1.47000000000003,0,12.94,1.63,0.19,0.256,0.00999999999999091,0.360000000000014,0.2,0,0.360000000000014,0.2,0,0.0600000000000023,0.2,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0500000000000114,1.47000000000003,0,13.34,0.980000000000018,0.16,0.25,0,0.360000000000014,0.168,0,0.340000000000032,0.168,0,0.360000000000014,0.168,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0600000000000023,1.63999999999999,0,13.05,1.01999999999998,0.164,0.254,0.0199999999999818,0.360000000000014,0.174,0,0.359999999999957,0.174,0,0.339999999999975,0.174,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.324999999999989,0.00999999999999091,0.15,0.324999999999989,0,0.158,10,10,4,4,0,0
0.00999999999999091,0.159999999999968,1.61000000000001,0,12.91,0.989999999999952,0.2,0.268,0.0199999999999818,0.0600000000000023,0.196,0,0.339999999999975,0.196,0,0.360000000000014,0.196,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0500000000000114,1.48000000000002,0.0199999999999818,13.09,1.02000000000004,0.192,0.244,0.0199999999999818,0.339999999999975,0.164,0,0.359999999999957,0.164,0,0.649999999999977,0.164,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0600000000000023,1.42000000000002,0,13.16,1.62,0.19,0.254,0,0.329999999999984,0.172,0,0.649999999999977,0.172,0.0100000000000477,0.660000000000025,0.172,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.335000000000008,0,0.184,0.335000000000008,0,0.198,10,10,4,4,0,0
0,0.0600000000000023,1.43000000000001,0,12.94,1.62,0.216,0.302,0.0199999999999818,0.0799999999999841,0.22,0,0.0500000000000114,0.22,0,0.360000000000014,0.22,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.0600000000000023,1.58999999999997,0.0199999999999818,13.01,0.689999999999998,0.186,0.25,0,0.360000000000014,0.182,0,0.0400000000000205,0.182,0,0.0600000000000023,0.182,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0499999999999545,1.44999999999999,0,12.65,1.61000000000001,0.19,0.248,0.00999999999999091,0.360000000000014,0.19,0,0.0699999999999932,0.19,0,0.340000000000032,0.19,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.164999999999992,0,0.192,0.164999999999992,0,0.212,10,10,4,4,0,0
0,0.0699999999999932,1.44999999999999,0,6.53000000000003,1.93000000000001,0.184,0.332,0.00999999999999091,0.350000000000023,0.19,0,0.350000000000023,0.19,0,0.0699999999999932,0.19,0,4,2,10,10,10,4,1,4,4,4,6,6,0,0,0,0,0.0399999999999636,1.44,0,6.36000000000001,1,0.172,0.28,0.00999999999999091,0.0500000000000114,0.168,0,0.0600000000000023,0.168,0,0.359999999999957,0.168,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0600000000000023,1.42000000000002,0,6.44,1.59000000000003,0.174,0.284,0,0.360000000000014,0.162,0,0.0699999999999932,0.162,0.00999999999999091,0.359999999999957,0.162,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.169999999999987,0,0.162,0.169999999999987,0,0.186,10,10,4,4,0,0
0,0.0499999999999545,1.45999999999998,0,6.52999999999997,0.359999999999957,0.18,0.314,0.0199999999999818,0.649999999999977,0.198,0,0.0499999999999545,0.198,0,0.360000000000014,0.198,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0500000000000114,1.57999999999998,0,6.41999999999996,1.59999999999991,0.164,0.308,0.00999999999999091,0.0600000000000591,0.162,0,0.360000000000014,0.162,0,0.339999999999918,0.162,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0499999999999545,1.53000000000009,0,6.49000000000001,0.670000000000073,0.16,0.308,0,0.110000000000014,0.17,0,0.370000000000005,0.17,0,0.07000000000005,0.17,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.78000000000003,0,0.17,0.78000000000003,0,0.176,10,10,4,4,0,0
0,0.0500000000000682,1.50999999999999,0.0199999999999818,13.0600000000001,1,0.224,0.304,0.0199999999999818,0.339999999999918,0.23,0,0.3599999999999,0.23,0,0.349999999999909,0.23,1,4,3,10,10,10,4,2,4,4,4,6,6,0,0,0,0,0.0499999999999545,1.44000000000005,0,12.87,0.690000000000055,0.178,0.23,0.0199999999999818,0.360000000000014,0.178,0,0.370000000000005,0.178,0,0.0500000000000682,0.178,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0600000000000591,1.41999999999996,0,12.54,0.670000000000073,0.186,0.238,0,0.370000000000005,0.188,0,0.360000000000014,0.188,0,0.07000000000005,0.188,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.319999999999993,0,0.208,0.319999999999993,0.0100000000001046,0.206,10,10,4,4,0,0
0,0.100000000000023,1.57999999999993,0,12.74,0.990000000000009,0.21,0.3,0.0199999999999818,0.340000000000032,0.214,0,0.639999999999986,0.214,0,0.339999999999918,0.214,1,4,3,10,10,10,4,2,4,4,4,6,6,0,0,0,0.0200000000000955,0.0499999999999545,1.43000000000006,0,12.9,0.689999999999941,0.186,0.236,0.00999999999999091,0.360000000000014,0.19,0,0.67999999999995,0.19,0,0.650000000000091,0.19,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0699999999999363,1.47000000000003,0,12.8599999999999,1.18999999999994,0.194,0.24,0.00999999999999091,0.350000000000023,0.2,0,0.360000000000014,0.2,0,0.360000000000014,0.2,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.629999999999995,0,0.194,0.629999999999995,0.00999999999999091,0.184,10,10,4,4,0,0
0.0199999999999818,0.0499999999999545,1.50999999999999,0,13.2199999999999,0.379999999999995,0.154,0.264,0,0.0599999999999454,0.196,0,0.0599999999999454,0.196,0,0.0600000000000591,0.196,1,4,3,10,10,10,4,2,4,4,4,6,5,0,0,0,0.00999999999999091,0.0499999999999545,1.47000000000003,0,12.86,0.979999999999905,0.14,0.216,0,0.360000000000014,0.156,0,0.0400000000000773,0.156,0,0.639999999999986,0.156,2,4,2,10,10,10,4,2,4,4,4,6,6,0,0,0,0,0.0600000000000591,1.42999999999995,0,13,0.689999999999941,0.14,0.216,0,0.0600000000000591,0.156,0,0.360000000000014,0.156,0.0199999999999818,0.360000000000014,0.156,2,4,2,10,10,10,4,2,4,4,4,6,6,0,0,0,0.324999999999989,0,0.152,0.324999999999989,0.00999999999999091,0.144,10,10,4,4,0,0
