"listS","listShat","pair","marg"
"1, 2, 3, 4","1","1-4","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-6, 4-8","1, 2, 3, 4"
"1, 2, 3, 4","1, 2","1-4, 2-3","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","3","3-9","1, 2, 3, 4"
"1, 2, 3, 4","1","1-2","1, 2, 3, 4"
"1, 2, 3, 4","1","1-10","1, 2, 3, 4"
"1, 2, 3, 4","1","1-2","1, 2, 3, 4"
"1, 2, 3, 4","2","2-6","1, 2, 3, 4"
"1, 2, 3, 4","2","2-3","1, 2, 3, 4"
"1, 2, 3, 4","3","3-4","1, 2, 3, 4"
"1, 2, 3, 4","1","1-4","1, 2, 3, 4, 5"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","1, 2","1-7, 2-6","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","3","3-9","1, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-3, 4-5","1, 2, 3, 4"
"1, 2, 3, 4","1, 2","1-6, 2-9","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-10, 3-8","1, 2, 3, 4, 6"
"1, 2, 3, 4","3","3-4","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-8, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","1","1-4","1, 2, 3, 4"
"1, 2, 3, 4","1","1-4","1, 2, 3, 4, 6"
"1, 2, 3, 4","1","1-9","1, 2, 3, 4"
"1, 2, 3, 4","2","2-3","1, 2, 3, 4"
"1, 2, 3, 4","2","2-10","1, 2, 3, 4"
"1, 2, 3, 4","2","2-3","1, 2, 3, 4, 5"
"1, 2, 3, 4","1","1-2","1, 2, 3, 4, 10"
"1, 2, 3, 4","1","1-2","1, 2, 3, 4"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-8, 4-9","1, 2, 3, 4, 7"
"1, 2, 3, 4","3, 4","3-8, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","2","2-3","2"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","3","3-4","1, 2, 3, 4"
"1, 2, 3, 4","3, 4","3-8, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","3, 4","3-7, 4-5","1, 2, 3, 4"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4, 8"
"1, 2, 3, 4","1, 2","1-4, 2-9","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-9, 3-10","1, 2, 3, 4"
"1, 2, 3, 4","2","2-4","1, 2, 3, 4"
"1, 2, 3, 4","2","2-3","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-3, 4-5","1, 2, 3, 4"
"1, 2, 3, 4","3","3-4","1, 2, 3, 4, 8"
"1, 2, 3, 4","1, 3","1-10, 3-5","1, 2, 3, 4"
