"listS","listShat","pair","marg"
"1, 2, 3, 4","1, 2","1-5, 2-9","1, 2, 3, 4, 7"
"1, 2, 3, 4","3","3-10","1, 2, 3, 4"
"1, 2, 3, 4","{2,10}, {4,8}","2-10, 4-8","1, 2, 3, 4"
"1, 2, 3, 4","4","4-8","1, 2, 3, 4"
"1, 2, 3, 4","3","3-8","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-5, 4-9","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-5, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","1, 2","1-9, 2-10","1, 2, 3, 4"
"1, 2, 3, 4","2","2-7","1, 2, 3, 4"
"1, 2, 3, 4","{2,7}, {3,9}","2-7, 3-9","1, 2, 3, 4"
"1, 2, 3, 4","3","3-8","1, 2, 3, 4"
"1, 2, 3, 4","6, 3","2-6, 3-5","1, 2, 3, 4"
"1, 2, 3, 4","{2,5}, 4","2-5, 4-9","1, 2, 3, 4"
"1, 2, 3, 4","1","1-8","1, 2, 3, 4"
"1, 2, 3, 4","{2,9}, {3,7}","2-9, 3-7","1, 2, 3, 4"
"1, 2, 3, 4","{1,8}, 3","1-8, 3-7","1, 2, 3, 4"
"1, 2, 3, 4","1","1-3","1, 2, 3, 4"
"1, 2, 3, 4","{4,5}","4-5","1, 2, 3, 4, 9"
"1, 2, 3, 4","{4,6}, 3","2-3, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","8","4-8","1, 2, 3, 4, 6"
"1, 2, 3, 4","{4,9}","4-9","1, 2, 3, 4"
"1, 2, 3, 4","{3,7}","3-7","1, 2, 3, 4"
"1, 2, 3, 4","1","1-10","1, 2, 3, 4, 8"
"1, 2, 3, 4","1","1-9","1, 2, 3, 4"
"1, 2, 3, 4","{1,10}","1-10","1, 2, 3, 4"
"1, 2, 3, 4","3","3-10","1, 2, 3, 4"
"1, 2, 3, 4","5, 4","1-5, 4-7","1, 2, 3, 4"
"1, 2, 3, 4","{4,8}","4-8","1, 2, 3, 4"
"1, 2, 3, 4","{2,8}","2-8","1, 2, 3, 4"
"1, 2, 3, 4","{1,8}, 10","1-8, 2-10","1, 2, 3, 4"
"1, 2, 3, 4","6, 3","1-6, 3-9","1, 2, 3, 4"
"1, 2, 3, 4","{2,5}, 4","2-5, 4-7","1, 2, 3, 4"
"1, 2, 3, 4","7","1-7","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-5, 3-6","1, 2, 3, 4, 8"
"1, 2, 3, 4","{1,6}, 4","1-6, 4-9","1, 2, 3, 4"
"1, 2, 3, 4","{1,9}, 4","1-9, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","{2,5}, 1","1-8, 2-5","1, 2, 3, 4"
"1, 2, 3, 4","3","3-6","1, 2, 3, 4, 9"
"1, 2, 3, 4","{2,10}","2-10","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,5}","1-5","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-6, 3-10","1, 2, 3, 4"
"1, 2, 3, 4","{2,5}","2-5","1, 2, 3, 4"
"1, 2, 3, 4","8","4-8","1, 2, 4"
"1, 2, 3, 4","3","1-3","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-8, 4-10","1, 2, 3, 4, 5"
"1, 2, 3, 4","{4,8}, 2","2-10, 4-8","1, 2, 3, 4"
"1, 2, 3, 4","4","4-6","1, 2, 3, 4"
"1, 2, 3, 4","3","3-7","1, 2, 3, 4"
"1, 2, 3, 4","7","3-7","1, 2, 3, 4"
"1, 2, 3, 4","{3,6}, {4,8}","3-6, 4-8","1, 2, 3, 4"
