"listS","listShat","pair","marg"
"{1,2}, {3,4}","{1,2}","1-2","2, 6, 8, 10"
"{1,2}, {3,4}","{1,2}, {5,6}","1-2, 5-6","1, 4, 5, 7"
"{1,2}, {3,4}","{3,4}, 6","3-4, 6-10","3, 6, 9"
"{1,2}, {3,4}","{2,9}","2-9","2, 7, 9"
"{1,2}, {3,4}","4","4-9","4"
"{1,2}, {3,4}","5","4-5","5"
"{1,2}, {3,4}","{9,10}, 1","1-6, 9-10","1"
"{1,2}, {3,4}","{1,5}, 3","1-5, 3-7","2, 3, 4, 5, 6"
"{1,2}, {3,4}","{1,2}","1-2","1"
"{1,2}, {3,4}","{2,7}, {3,4}","2-7, 3-4","2, 4, 6, 7, 8"
"{1,2}, {3,4}","{2,3}, 6","2-3, 6-9","6"
"{1,2}, {3,4}","{1,2}, {4,10}, 8","1-2, 4-10, 7-8","4, 5, 8, 9"
"{1,2}, {3,4}","{1,10}","1-10","1, 2, 3, 6, 7"
"{1,2}, {3,4}","{3,4}, {7,10}","3-4, 7-10","2, 4, 6, 7"
"{1,2}, {3,4}","{1,2}","1-2","1, 2, 4, 5"
"{1,2}, {3,4}","{1,2}","1-2","3"
"{1,2}, {3,4}","{4,6}, {7,9}","4-6, 7-9","4, 5"
"{1,2}, {3,4}","{9,10}","9-10","5, 9, 10"
"{1,2}, {3,4}","{3,4}, 8","1-8, 3-4","8"
"{1,2}, {3,4}","{6,7}","6-7","5, 6"
"{1,2}, {3,4}","{3,4}","3-4","1, 3, 4, 5"
"{1,2}, {3,4}","{4,9}","4-9","6, 9"
"{1,2}, {3,4}","{1,2}","1-2","2"
"{1,2}, {3,4}","1","1-2","1, 5, 10"
"{1,2}, {3,4}","{5,7}, {8,10}","5-7, 8-10","1, 5, 7, 8"
"{1,2}, {3,4}","{3,4}, {7,8}, 10","3-4, 5-10, 7-8","3, 10"
"{1,2}, {3,4}","{6,9}","6-9","7"
"{1,2}, {3,4}","{4,5}, 10","4-5, 6-10","2, 3, 4, 5, 10"
"{1,2}, {3,4}","{2,5}","2-5","2"
"{1,2}, {3,4}","{2,7}, 6","2-7, 6-10","6, 7"
"{1,2}, {3,4}","{1,2}, {5,7}","1-2, 5-7","7, 10"
"{1,2}, {3,4}","{1,2}, {3,4}","1-2, 3-4","2, 7, 8, 10"
"{1,2}, {3,4}","{1,9}","1-9","6, 9"
"{1,2}, {3,4}","{3,5}","3-5","3, 9"
"{1,2}, {3,4}","2, 10","1-2, 7-10","6, 10"
"{1,2}, {3,4}","{1,2}","1-2","1, 4, 9, 10"
"{1,2}, {3,4}","{2,9}","2-9","2, 3, 7, 8, 9"
"{1,2}, {3,4}","{1,2}, {7,8}, 6","1-2, 3-6, 7-8","1, 3, 6, 8"
"{1,2}, {3,4}","{1,9}, {2,6}, {7,8}","1-9, 2-6, 7-8","2, 6, 8, 9, 10"
"{1,2}, {3,4}","{3,4}, 2","1-2, 3-4","2"
"{1,2}, {3,4}","{2,10}, {5,7}","2-10, 5-7","1, 5, 10"
"{1,2}, {3,4}","{5,10}, 4","4-8, 5-10","3, 4, 5, 10"
"{1,2}, {3,4}","{1,8}, {5,6}","1-8, 5-6","1, 2, 7"
"{1,2}, {3,4}","{1,6}, {2,7}","1-6, 2-7","1, 3, 5, 7, 9"
"{1,2}, {3,4}","{1,2}, {3,4}, 8","1-2, 3-4, 7-8","1, 3, 6, 8, 9"
"{1,2}, {3,4}","{4,7}, 5","2-5, 4-7","3, 5, 6"
"{1,2}, {3,4}","{5,10}","5-10","5"
"{1,2}, {3,4}","{4,10}","4-10","4, 7, 8, 9"
"{1,2}, {3,4}","{3,5}, {4,8}","3-5, 4-8","5"
"{1,2}, {3,4}","{4,7}","4-7","4, 5, 7, 9"
