listS,listShat,matching_pairs,matching_standalone
"1, 2, 3, 4","{1,4}, {2,3}",0,0
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","{3,4}",0,0
"1, 2, 3, 4","{1,4}, {2,3}",0,0
"1, 2, 3, 4","{2,3}",0,0
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4","{1,2}, {3,4}",0,0
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{3,4}, 2",0,1
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{1,3}, 4",0,1
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","{1,4}, 2",0,1
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{2,4}, 3",0,1
"1, 2, 3, 4","{1,4}, {2,3}",0,0
"1, 2, 3, 4","{1,4}, 2",0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{3,4}",0,0
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{3,4}",0,0
"1, 2, 3, 4","{3,8}",0,0
"1, 2, 3, 4","{1,2}, 4",0,1
"1, 2, 3, 4","{2,3}, 4",0,1
"1, 2, 3, 4","{1,4}, 3",0,1
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{2,3}",0,0
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{3,4}",0,0
"1, 2, 3, 4","{1,4}, 2",0,1
"1, 2, 3, 4","{1,4}, {2,3}",0,0
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{2,3}",0,0
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","{1,3}, {4,5}",0,0
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","{1,3}, {2,4}",0,0
"1, 2, 3, 4","{1,2}, 4",0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{1,4}, 8",0,0
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{1,3}, {2,4}",0,0
"1, 2, 3, 4","{1,2}, 4",0,1
"1, 2, 3, 4","{2,3}, 4",0,1
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{1,3}, {4,10}",0,1
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{1,3}, 4",0,1
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{3,4}",0,0
"1, 2, 3, 4","{1,2}, 3",0,1
"1, 2, 3, 4","{1,2}, 4",0,1
"1, 2, 3, 4","{4,5}, 3",0,1
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{1,3}, 4",0,1
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{2,4}, 1",0,1
"1, 2, 3, 4","{2,3}",0,0
"1, 2, 3, 4","4, 10",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","{1,4}",0,0
"1, 2, 3, 4","{1,9}",0,0
"1, 2, 3, 4","{1,3}, {2,4}",0,0
"1, 2, 3, 4","{2,4}, 1",0,1
"1, 2, 3, 4","{2,4}, 1",0,1
"1, 2, 3, 4","{2,4}, 1",0,1
"1, 2, 3, 4","{2,3}, 7",0,0
"1, 2, 3, 4","{1,2}, 4",0,1
"1, 2, 3, 4","{2,9}, 1",0,1
"1, 2, 3, 4","{2,4}, 3",0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","{1,2}, {3,4}",0,0
"1, 2, 3, 4","{2,3}, 4",0,1
"1, 2, 3, 4","{2,4}, 1",0,1
"1, 2, 3, 4","{1,3}",0,0
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{1,3}, 2",0,1
"1, 2, 3, 4","{1,3}, {2,4}",0,0
"1, 2, 3, 4","{1,2}, {3,4}",0,0
"1, 2, 3, 4","{2,3}",0,0
"1, 2, 3, 4","{1,2}",0,0
"1, 2, 3, 4","{2,4}",0,0
"1, 2, 3, 4","{1,4}, 3",0,1
