listS,listShat,matching_pairs,matching_standalone
"1, 2, 3, 4","{3,9}, 1",0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4","{2,7}",0,0
"1, 2, 3, 4","{4,5}",0,0
"1, 2, 3, 4","10, 3",0,1
"1, 2, 3, 4","{2,10}",0,1
"1, 2, 3, 4","{3,7}",0,0
"1, 2, 3, 4","{4,8}, 2",0,1
"1, 2, 3, 4",9,0,0
"1, 2, 3, 4","{4,10}",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","{1,5}, {2,10}",0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{2,9}, 4",0,1
"1, 2, 3, 4","{4,10}, 2",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","{4,5}",0,0
"1, 2, 3, 4","{3,6}",0,0
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","{1,10}, {3,7}, 4",0,2
"1, 2, 3, 4","{4,5}, 1",0,1
"1, 2, 3, 4",6,0,0
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",6,0,0
"1, 2, 3, 4","{3,8}",0,0
"1, 2, 3, 4","{3,10}, 1",0,1
"1, 2, 3, 4","{3,7}, 2",0,1
"1, 2, 3, 4","{3,5}, 2",0,1
"1, 2, 3, 4","{2,7}",0,0
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",6,0,0
"1, 2, 3, 4","{1,10}, {2,6}",0,1
"1, 2, 3, 4","{3,7}, 1",0,1
"1, 2, 3, 4","{1,9}",0,0
"1, 2, 3, 4","{4,6}",0,0
"1, 2, 3, 4","{2,6}, 3",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","{2,5}, {3,9}",0,0
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4","{4,5}",0,0
"1, 2, 3, 4","{3,9}, 2",0,1
"1, 2, 3, 4","{4,7}, 3",0,1
"1, 2, 3, 4","6, 3",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","{1,8}",0,0
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4","1, 9",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{4,5}, 3",0,1
"1, 2, 3, 4","2, 9",0,1
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","8, 4",0,1
"1, 2, 3, 4","1, 9",0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","{2,5}, 4",0,1
"1, 2, 3, 4","5, 2",0,1
"1, 2, 3, 4","{3,5}, 1",0,1
"1, 2, 3, 4","1, 8",0,1
"1, 2, 3, 4","{4,8}, 1, 3",0,2
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","{1,7}, {3,5}",0,0
"1, 2, 3, 4","1, 9",0,1
"1, 2, 3, 4","{3,9}, 4",0,1
"1, 2, 3, 4","{4,10}",0,1
"1, 2, 3, 4","{1,10}, 3",0,2
"1, 2, 3, 4","7, 2, 8",0,1
"1, 2, 3, 4","{3,5}, 2",0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",9,0,0
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","{3,5}, 4",0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","{3,6}, 7",0,0
"1, 2, 3, 4","{4,7}",0,0
"1, 2, 3, 4","{3,6}",0,0
"1, 2, 3, 4","{2,8}",0,0
"1, 2, 3, 4",1,0,1
