"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4, 8",0.22
"1, 2, 3, 4","1, 2, 3, 4",0.476
"1, 2, 3, 4","1, 2, 3, 4",0.46
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.192
"1, 2, 3, 4","1, 2, 3, 4",0.234
"1, 2, 3, 4","1, 2, 3, 4",0.366
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.288
"1, 2, 3, 4","1, 2, 3, 4",0.3
"1, 2, 3, 4","1, 2, 3, 4, 7",0.25
"1, 2, 3, 4","1, 2, 3, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4",0.268
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.248
"1, 2, 3, 4","1, 2, 3, 4",0.232
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","1, 2, 3, 4",0.196
"1, 2, 3, 4","1, 2, 3, 4",0.178
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.24
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.192
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.332
"1, 2, 3, 4","1, 2, 3, 4",0.362
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4",0.244
"1, 2, 3, 4","1, 2, 3, 4",0.2
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4",0.304
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.322
"1, 2, 3, 4","1, 2, 3, 4",0.324
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.186
"1, 2, 3, 4","1, 2, 3, 4",0.268
"1, 2, 3, 4","1, 2, 3, 4",0.342
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.268
"1, 2, 3, 4","1, 2, 3, 4",0.312
"1, 2, 3, 4","1, 2, 3, 4",0.208
"1, 2, 3, 4","1, 2, 3, 4",0.2
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","1, 2, 3, 4",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.444
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.25
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.264
"1, 2, 3, 4","1, 2, 3, 4",0.208
"1, 2, 3, 4","1, 2, 3, 4",0.368
"1, 2, 3, 4","1, 2, 3, 4",0.2
"1, 2, 3, 4","1, 2, 3, 4",0.21
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.228
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4",0.286
"1, 2, 3, 4","1, 2, 3, 4",0.178
"1, 2, 3, 4","1, 2, 3, 4",0.268
"1, 2, 3, 4","1, 2, 3, 4",0.258
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","1, 2, 3, 4",0.196
"1, 2, 3, 4","1, 2, 3, 4",0.246
"1, 2, 3, 4","1, 2, 3, 4, 10",0.218
"1, 2, 3, 4","1, 2, 3, 4",0.286
"1, 2, 3, 4","1, 2, 3, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4",0.306
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.332
"1, 2, 3, 4","1, 2, 3, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4",0.256
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.22
"1, 2, 3, 4","1, 2, 3, 4",0.154
"1, 2, 3, 4","1, 2, 3, 4",0.208
"1, 2, 3, 4","1, 2, 3, 4",0.216
