"MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gexp","MixS_gexp","screen.time_MV_gexp","class.time_MV_gexp","ERR_MV_gexp","screen.time_RRS_gexp","class.time_RRS_gexp","ERR_RRS_gexp","screen.time_KG_gexp","class.time_KG_gexp","ERR_KG_gexp","captured#Blocks","modelsize_MarS_gexp","modelsize_MixS_gexp","modelsize_MV_gexp","modelsize_RRS_gexp","modelsize_KG_gexp","capSig_MarS_gexp","capSig_MixS_gexp","capSig_MV_gexp","capSig_RRS_gexp","capSig_KG_gexp","capNoise_MarS_gexp","capNoise_MixS_gexp","capNoise_MV_gexp","capNoise_RRS_gexp","capNoise_KG_gexp","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gsqrt","MixS_gsqrt","screen.time_MV_gsqrt","class.time_MV_gsqrt","ERR_MV_gsqrt","screen.time_RRS_gsqrt","class.time_RRS_gsqrt","ERR_RRS_gsqrt","screen.time_KG_gsqrt","class.time_KG_gsqrt","ERR_KG_gsqrt","captured#Blocks","modelsize_MarS_gsqrt","modelsize_MixS_gsqrt","modelsize_MV_gsqrt","modelsize_RRS_gsqrt","modelsize_KG_gsqrt","capSig_MarS_gsqrt","capSig_MixS_gsqrt","capSig_MV_gsqrt","capSig_RRS_gsqrt","capSig_KG_gsqrt","capNoise_MarS_gsqrt","capNoise_MixS_gsqrt","capNoise_MV_gsqrt","capNoise_RRS_gsqrt","capNoise_KG_gsqrt","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_glog","MixS_glog","screen.time_MV_glog","class.time_MV_glog","ERR_MV_glog","screen.time_RRS_glog","class.time_RRS_glog","ERR_RRS_glog","screen.time_KG_glog","class.time_KG_glog","ERR_KG_glog","captured#Blocks","modelsize_MarS_glog","modelsize_MixS_glog","modelsize_MV_glog","modelsize_RRS_glog","modelsize_KG_glog","capSig_MarS_glog","capSig_MixS_glog","capSig_MV_glog","capSig_RRS_glog","capSig_KG_glog","capNoise_MarS_glog","capNoise_MixS_glog","capNoise_MV_glog","capNoise_RRS_glog","capNoise_KG_glog","screen.time_MCSSVMLIN","class.time_MCSSVMLIN","ERR_MCSSVMLIN","screen.time_MCSSVMRBF","class.time_MCSSVMRBF","ERR_MCSSVMRBF","modelsize_MCSSVMLIN","modelsize_MCSSVMRBF","capSig_MCSSVMLIN","capSig_MCSSVMRBF","capNoise_MCSSVMLIN","capNoise_MCSSVMRBF"
0,0.0400000000008731,0.0200000000040745,0,12.25,0.669999999998254,0.148,0.292,0,0.0600000000049477,0.148,0,0.340000000003783,0.148,0,0.360000000000582,0.148,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.069999999999709,0,0.0100000000020373,12.3299999999945,2.25,0.18,0.354,0.0100000000020373,0.360000000000582,0.164,0,0.069999999999709,0.164,0,0.330000000001746,0.164,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.069999999999709,0.0199999999967986,0,6.09000000000378,1.30999999999767,0.142,0.358,0,0.360000000000582,0.146,0,0.669999999998254,0.146,0,0.330000000001746,0.146,0,4,2,10,10,10,4,1,4,4,4,6,6,0,0,0,0.325000000000728,0.0199999999967986,0.416,0.325000000000728,0,0.346,10,10,4,4,0,0
0,0.0599999999976717,0.0199999999967986,0,6.20999999999913,1.30000000000291,0.13,0.352,0,0.0599999999976717,0.134,0,0.660000000003492,0.134,0,0.0500000000029104,0.134,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0400000000008731,0,0,12.2900000000009,0.690000000002328,0.192,0.352,0,0.0400000000008731,0.198,0,0.660000000003492,0.198,0,0.0600000000049477,0.198,0,4,4,10,10,10,4,2,4,4,4,6,4,0,0,0,0,0.0600000000049477,0.0100000000020373,0.0200000000040745,13.5,0.690000000002328,0.138,0.316,0.0100000000020373,0.360000000000582,0.142,0,0.360000000000582,0.142,0,0.069999999999709,0.142,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0.174999999999272,0,0.29,0.174999999999272,0,0.286,10,10,4,4,0,0
0,0.0500000000029104,0.0199999999967986,0,6.84999999999854,0.669999999998254,0.132,0.36,0.0100000000020373,0.360000000000582,0.136,0,0.0599999999976717,0.136,0.0100000000020373,0.659999999996217,0.136,0,4,2,10,10,10,4,1,4,4,4,6,6,0,0,0,0,0.0400000000008731,0.0100000000020373,0,14,0.780000000006112,0.166,0.332,0,0.340000000003783,0.168,0,0.340000000003783,0.168,0,0.349999999998545,0.168,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0.0100000000020373,0.0600000000049477,0.0100000000020373,0,6.19999999999709,1.29000000000087,0.138,0.346,0.0100000000020373,0.0499999999956344,0.14,0,0.0799999999944703,0.14,0,0.659999999996217,0.14,0,4,2,10,10,10,4,1,4,4,4,6,6,0,0,0,0.635000000002037,0,0.282,0.635000000002037,0,0.252,10,10,4,4,0,0
0,0.0500000000029104,0.0199999999967986,0,6.66999999999825,0.369999999995343,0.146,0.358,0.0199999999967986,0.370000000002619,0.146,0,0.360000000000582,0.146,0,0.340000000003783,0.146,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0599999999976717,0.0199999999967986,0.0199999999967986,6.56999999999971,0.980000000003201,0.18,0.32,0,0.069999999999709,0.194,0,0.0500000000029104,0.194,0,0.340000000003783,0.194,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.0100000000020373,0.0600000000049477,0.0100000000020373,0,6.38999999999942,1.29999999999563,0.148,0.348,0,0.0600000000049477,0.152,0,0.659999999996217,0.152,0,0.360000000000582,0.152,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.490000000001601,0,0.296,0.490000000001601,0,0.27,10,10,4,4,0,0
0,0.0500000000029104,0.0199999999967986,0,7.04999999999563,1.30999999999767,0.116,0.38,0.0200000000040745,0.339999999996508,0.148,0,0.339999999996508,0.148,0,0.360000000000582,0.148,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0499999999956344,0.0200000000040745,0,13.5400000000009,0.379999999997381,0.17,0.274,0,0.330000000001746,0.184,0,0.069999999999709,0.184,0,0.0500000000029104,0.184,0,4,4,10,10,10,4,3,4,4,4,6,5,0,0,0,0,0.0599999999976717,0.0200000000040745,0,6.84000000000378,0.680000000000291,0.126,0.258,0,0.379999999997381,0.134,0,0.359999999993306,0.134,0,0.0599999999976717,0.134,0,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.179999999996653,0,0.488,0.179999999996653,0.0100000000020373,0.438,10,10,4,4,0,0
0,0.0499999999956344,0.0199999999967986,0.0199999999967986,6.63999999999942,0.680000000000291,0.136,0.34,0.0100000000020373,0.349999999998545,0.128,0,0.340000000003783,0.128,0.0199999999967986,0.0599999999976717,0.128,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.069999999999709,0.0199999999967986,0,6.63999999999942,0.67000000000553,0.182,0.474,0.0199999999967986,0.0400000000008731,0.182,0,0.0400000000008731,0.182,0,0.349999999998545,0.182,0,4,1,10,10,10,4,0,4,4,4,6,7,0,0,0,0,0.0599999999976717,0.0100000000020373,0,6.68000000000029,0.669999999998254,0.124,0.344,0.0199999999967986,0.0599999999976717,0.12,0,0.069999999999709,0.12,0,0.069999999999709,0.12,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.485000000000582,0,0.268,0.485000000000582,0.0199999999967986,0.27,10,10,4,4,0,0
0,0.0500000000029104,0.0199999999967986,0,6.7300000000032,1,0.142,0.396,0.0200000000040745,0.360000000000582,0.15,0,0.0599999999976717,0.15,0,0.0499999999956344,0.15,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.0100000000020373,0.0400000000008731,0.0199999999967986,0.0199999999967986,12.9300000000003,1.27999999999884,0.188,0.358,0.0199999999967986,0.360000000000582,0.224,0,0.360000000000582,0.224,0,0.0600000000049477,0.224,0,4,4,10,10,10,4,2,4,4,4,6,6,0,0,0,0,0.0500000000029104,0.0299999999988358,0,13.2699999999968,1,0.134,0.348,0.0100000000020373,0.0600000000049477,0.138,0,0.360000000000582,0.138,0,0.0600000000049477,0.138,0,4,4,10,10,10,4,2,4,4,4,6,6,0,0,0,0.485000000000582,0.0100000000020373,0.49,0.485000000000582,0.0100000000020373,0.472,10,10,4,4,0,0
0.0199999999967986,0.0500000000029104,0.0199999999967986,0,13.1399999999994,0.470000000001164,0.134,0.356,0.0200000000040745,0.069999999999709,0.152,0,0.360000000000582,0.152,0,0.349999999998545,0.152,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.0499999999956344,0,0.0199999999967986,13.25,1.05999999999767,0.146,0.262,0.0100000000020373,0.0600000000049477,0.19,0,0.0599999999976717,0.19,0,0.360000000000582,0.19,0,4,4,10,10,10,4,3,4,4,4,6,6,0,0,0,0,0.0400000000008731,0.0100000000020373,0,13.3700000000026,0.669999999998254,0.13,0.348,0.0100000000020373,0.0499999999956344,0.134,0.0100000000020373,0.379999999997381,0.134,0,0.659999999996217,0.134,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0.319999999999709,0.0100000000020373,0.268,0.319999999999709,0.0100000000020373,0.298,10,10,4,4,0,0
0,0.069999999999709,0.0199999999967986,0,13.0299999999988,0.67000000000553,0.098,0.312,0,0.0599999999976717,0.104,0,0.340000000003783,0.104,0.0199999999967986,0.349999999998545,0.104,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.0499999999956344,0,0,6.47000000000116,0.669999999998254,0.148,0.354,0.0199999999967986,0.0400000000008731,0.194,0,0.339999999996508,0.194,0,0.32999999999447,0.194,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0500000000029104,0.0199999999967986,0,6.52999999999884,1.28000000000611,0.088,0.358,0,0.0599999999976717,0.098,0,0.379999999997381,0.098,0,0.360000000000582,0.098,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.479999999999563,0.0199999999967986,0.288,0.479999999999563,0.0200000000040745,0.282,10,10,4,4,0,0
0,0.0400000000008731,0.0100000000020373,0,12.8299999999945,1,0.118,0.286,0.0100000000020373,0.0599999999976717,0.13,0,0.339999999996508,0.13,0,0.340000000003783,0.13,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.069999999999709,0,0.0199999999967986,13.2200000000012,0.389999999999418,0.154,0.226,0,0.340000000003783,0.162,0,0.349999999998545,0.162,0,0.340000000003783,0.162,0,4,3,10,10,10,4,2,4,4,4,6,6,0,0,0,0,0.0599999999976717,0.0300000000061118,0,6.33000000000175,0.660000000003492,0.116,0.314,0.0199999999967986,0.349999999998545,0.106,0,0.340000000003783,0.106,0,0.069999999999709,0.106,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0.329999999998108,0,0.23,0.329999999998108,0.0100000000020373,0.212,10,10,4,4,0,0
