"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.104
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4, 7",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.11
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.124
"1, 2, 3, 4","1, 2, 3, 4",0.16
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.154
"1, 2, 3, 4","1, 2, 3, 4",0.128
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.13
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.112
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4, 9",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.104
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.112
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4, 8",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.16
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.13
"1, 2, 3, 4","1, 2, 3, 4",0.128
"1, 2, 3, 4","1, 2, 3, 4",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.122
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.128
"1, 2, 3, 4","1, 2, 3, 4",0.108
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4, 6",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4, 5",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.152
"1, 2, 3, 4","1, 2, 3, 4",0.084
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4, 8",0.218
"1, 2, 3, 4","1, 2, 3, 4, 8",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4, 9",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4, 5",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4",0.108
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.164
