"listS","listShat","pair","marg"
"1, 2, 3, 4","{1,4}, {2,3}","1-4, 2-3","1, 3"
"1, 2, 3, 4","2, 4","1-2, 4-9","1, 2, 3, 4, 5"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,4}, {2,3}","1-4, 2-3","1, 2, 4, 8"
"1, 2, 3, 4","{2,3}","2-3","2, 3"
"1, 2, 3, 4","2, 3","2-4, 3-8","1, 2, 3, 4"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","1, 2, 3, 7, 8"
"1, 2, 3, 4","{1,3}","1-3","1, 2, 3, 4, 7"
"1, 2, 3, 4","1","1-4","1, 2"
"1, 2, 3, 4","{3,4}, 2","2-10, 3-4","2, 3"
"1, 2, 3, 4","{1,3}","1-3","3, 4"
"1, 2, 3, 4","{1,3}, 4","1-3, 2-4","3, 4"
"1, 2, 3, 4","{1,4}","1-4","1, 2, 10"
"1, 2, 3, 4","1, 3","1-10, 3-4","1, 2, 3, 6"
"1, 2, 3, 4","{1,4}, 2","1-4, 2-8","2, 3, 4"
"1, 2, 3, 4","{2,4}","2-4","1, 2, 3, 4"
"1, 2, 3, 4","{2,4}, 3","2-4, 3-7","3, 4, 10"
"1, 2, 3, 4","{1,4}, {2,3}","1-4, 2-3","1, 2, 3, 4, 9"
"1, 2, 3, 4","{1,4}, 2","1-4, 2-8","1, 2, 3, 4"
"1, 2, 3, 4","2","2-7","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,3}","1-3","1, 2, 3, 4, 6"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4"
"1, 2, 3, 4","{2,4}","2-4","1, 2, 3, 4, 6"
"1, 2, 3, 4","{1,3}","1-3","1, 3, 4, 10"
"1, 2, 3, 4","{3,4}","3-4","4"
"1, 2, 3, 4","{3,8}","3-8","1, 2, 4, 8"
"1, 2, 3, 4","{1,2}, 4","1-2, 4-6","1, 4"
"1, 2, 3, 4","{2,3}, 4","2-3, 4-6","4"
"1, 2, 3, 4","{1,4}, 3","1-4, 2-3","3"
"1, 2, 3, 4","{1,3}","1-3","1, 2, 3, 4"
"1, 2, 3, 4","1","1-4","1"
"1, 2, 3, 4","{2,3}","2-3","1, 2, 3, 7, 9"
"1, 2, 3, 4","{1,4}","1-4","1, 3, 4"
"1, 2, 3, 4","{2,4}","2-4","2, 3"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,4}, 2","1-4, 2-9","1, 2, 3, 4, 9"
"1, 2, 3, 4","{1,4}, {2,3}","1-4, 2-3","1, 2, 3, 4"
"1, 2, 3, 4","{1,4}","1-4","2"
"1, 2, 3, 4","{2,3}","2-3","2"
"1, 2, 3, 4","1, 2","1-5, 2-6","1, 2, 4"
"1, 2, 3, 4","{1,3}, {4,5}","1-3, 4-5","1, 2, 3, 4, 5"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 4, 7, 8"
"1, 2, 3, 4","3","3-10","4"
"1, 2, 3, 4","1","1-10","1, 2, 3, 4, 7"
"1, 2, 3, 4","2","1-2","2"
"1, 2, 3, 4","3","3-6","1, 2, 3, 4, 10"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","2"
"1, 2, 3, 4","{1,2}, 4","1-2, 4-7","1, 2, 3, 4, 7"
"1, 2, 3, 4","2","2-10","2"
"1, 2, 3, 4","{2,4}","2-4","1, 2, 3, 4, 10"
"1, 2, 3, 4","{1,3}","1-3","1, 3, 4"
"1, 2, 3, 4","{1,4}, 8","1-4, 7-8","2, 3, 7, 8"
"1, 2, 3, 4","{2,4}","2-4","1, 2, 3, 4, 8"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,2}, 4","1-2, 3-4","1, 2, 4"
"1, 2, 3, 4","{2,3}, 4","2-3, 4-10","2, 4"
"1, 2, 3, 4","{1,2}","1-2","2, 3, 4"
"1, 2, 3, 4","{1,3}, {4,10}","1-3, 4-10","1, 3, 4, 5, 8"
"1, 2, 3, 4","{1,2}","1-2","2, 4"
"1, 2, 3, 4","{1,3}","1-3","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,4}","1-4","1"
"1, 2, 3, 4","{1,4}","1-4","1, 3, 4, 5, 9"
"1, 2, 3, 4","{1,3}, 4","1-3, 4-8","1"
"1, 2, 3, 4","{1,2}","1-2","4"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4, 6"
"1, 2, 3, 4","{1,2}, 3","1-2, 3-10","1, 2, 3, 9"
"1, 2, 3, 4","{1,2}, 4","1-2, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","{4,5}, 3","3-9, 4-5","1, 3"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 3, 4, 9"
"1, 2, 3, 4","{1,3}, 4","1-3, 4-6","3, 4"
"1, 2, 3, 4","{1,4}","1-4","1"
"1, 2, 3, 4","{2,4}, 1","1-3, 2-4","1, 4"
"1, 2, 3, 4","{2,3}","2-3","1, 2, 3, 4, 9"
"1, 2, 3, 4","4, 10","4-8, 5-10","4, 10"
"1, 2, 3, 4","1, 4","1-8, 4-10","2, 4"
"1, 2, 3, 4","{1,4}","1-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,9}","1-9","9"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","1, 3, 9, 10"
"1, 2, 3, 4","{2,4}, 1","1-3, 2-4","1, 2, 4, 8"
"1, 2, 3, 4","{2,4}, 1","1-9, 2-4","1, 2, 4"
"1, 2, 3, 4","{2,4}, 1","1-5, 2-4","1, 2, 3, 4, 8"
"1, 2, 3, 4","{2,3}, 7","2-3, 7-10","7"
"1, 2, 3, 4","{1,2}, 4","1-2, 4-9","4"
"1, 2, 3, 4","{2,9}, 1","1-7, 2-9","1"
"1, 2, 3, 4","{2,4}, 3","2-4, 3-6","1, 3, 4, 5, 6"
"1, 2, 3, 4","1","1-5","1, 2, 3, 4"
"1, 2, 3, 4","{2,4}","2-4","4"
"1, 2, 3, 4","1, 4","1-5, 4-9","1, 4, 9"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","1, 2, 3, 4, 5"
"1, 2, 3, 4","{2,3}, 4","2-3, 4-7","1, 2, 3, 4, 8"
"1, 2, 3, 4","{2,4}, 1","1-9, 2-4","1, 2, 4"
"1, 2, 3, 4","{1,3}","1-3","1"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 3, 4"
"1, 2, 3, 4","{1,3}, 2","1-3, 2-7","9"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","3, 4, 10"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","1, 2, 3, 4, 10"
"1, 2, 3, 4","{2,3}","2-3","1, 2, 3, 4, 7"
"1, 2, 3, 4","{1,2}","1-2","2"
"1, 2, 3, 4","{2,4}","2-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,4}, 3","1-4, 3-9","2, 3, 4"
